authorId,name
34917892,Djork-Arné Clevert
2465270,Thomas Unterthiner
3308557,Sepp Hochreiter
145845739,S. Mousavi
3462562,G. Beroza
2149373363,Lu Lu
32526075,Xuhui Meng
14838210,Zhiping Mao
1720124,G. Karniadakis
2164604,Shervin Minaee
49943757,E. Cambria
48441311,Jianfeng Gao
51026953,Eric Wong
47260842,Leslie Rice
117539586,Zico Kolter
144718788,L. Deng
144580027,Dong Yu
1949747,Robert Geirhos
51919565,J. Jacobsen
40899528,Claudio Michaelis
1804104,R. Zemel
40634590,Wieland Brendel
1731199,M. Bethge
1924112,Felix Wichmann
8324144,Zilong Zhong
2124950899,Jonathan Li
40455111,Zhiming Luo
145261912,M. Chapman
3255983,Volodymyr Mnih
2645384,K. Kavukcuoglu
145824029,David Silver
2228824,Andrei A. Rusu
144056327,J. Veness
1792298,Marc G. Bellemare
1753223,Alex Graves
3137672,Martin A. Riedmiller
145600108,A. Fidjeland
2273072,Georg Ostrovski
48348688,Stig Petersen
50388928,Charlie Beattie
49813280,Amir Sadik
2460849,Ioannis Antonoglou
143776287,Helen King
2106164,D. Kumaran
1688276,D. Wierstra
34313265,S. Legg
48987704,D. Hassabis
47570053,Saikat Chakraborty
49206685,R. Krishna
1902935998,Yangruibo Ding
31631000,Baishakhi Ray
1811529,A. Esteva
2055632320,Katherine Chou
34149749,Serena Yeung
2047256670,N. Naik
145822841,Ali Madani
145934658,A. Mottaghi
2118113191,Yun Liu
144758045,E. Topol
48448318,J. Dean
2166511,R. Socher
1745169,P. Bartlett
145071265,A. Montanari
1680046,A. Rakhlin
1407546424,Jascha Narain Sohl-Dickstein
2144479710,Eric A. Weiss
2333223,Niru Maheswaranathan
25769960,S. Ganguli
35776445,Mingsheng Long
2146174097,Yue Cao
2144499343,Jianmin Wang
1694621,Michael I. Jordan
2845896,Y. Cha
10368766,Wooram Choi
3469877,O. Büyüköztürk
1388725932,Zeyuan Allen-Zhu
2110486765,Yuanzhi Li
143825455,Zhao Song
2412834,D. Hong
2276599246,Lianru Gao
6611386,N. Yokoya
151502810,Jing Yao
1744943,J. Chanussot
144486980,Q. Du
46824214,Bing Zhang
34900451,Raghavendra Chalapathy
2180253530,Sanjay Chawla
2093348519,Jeremy Howard
2286145455,Sylvain Gugger
2550392,B. Efron
2248423226,Trevor J. Hastie
2111872453,Yu Matsuo
1688882,Yann LeCun
2283363,M. Sahani
144368601,Doina Precup
67154907,Masashi Sugiyama
1773761,E. Uchibe
50414121,J. Morimoto
2540599,Mengye Ren
3468942,Wenyuan Zeng
49188662,Binh Yang
2422559,R. Urtasun
3490923,Milad Nasr
2520493,R. Shokri
1972973,Amir Houmansadr
2117966548,Ziyun Wang
1725157,T. Schaul
39357484,Matteo Hessel
7634925,H. V. Hasselt
1975889,Marc Lanctot
1737568,Nando de Freitas
1954203,Qiangqiang Yuan
32309758,Huanfeng Shen
8036713,Tongwen Li
2124848709,Zhiwei Li
2109142986,Shuwen Li
2117772657,Yun Jiang
2146234800,Hongzhang Xu
2070762839,Weiwei Tan
47492189,Qianqian Yang
2110191550,Jiwen Wang
1390561471,Jianhao Gao
9802604,Liangpei Zhang
3098251,Muhan Zhang
7217944,Zhicheng Cui
40059761,Marion Neumann
9527255,Yixin Chen
2281323752,Yulan Guo
2349261024,Hanyun Wang
8163866,Qingyong Hu
2052178444,Hao Liu
39695518,Li Liu
1698675,Bennamoun
1825256,Kevin Eykholt
22229139,I. Evtimov
35064352,Earlence Fernandes
2165245296,Bo Li
145416145,Amir Rahmati
2723309,Chaowei Xiao
49428285,Atul Prakash
1769675,Tadayoshi Kohno
143711382,D. Song
1797022,Hoo-Chang Shin
144531567,H. Roth
39703662,Mingchen Gao
50706692,Le Lu
1742135,Ziyue Xu
37754137,Isabella Nogues
1722252,Jianhua Yao
