authorId,name,community
50562026,,6
3433615,,1
2807119,,2
1499242010,,3
2216606292,,4
3439053,,5
2072250824,,5
31627633,,6
2058873326,,7
1481731103,,8
48414023,,9
40342882,,10
2949185,,1
39060743,,6
46179766,,6
2066381249,,8
17836661,,11
1680617,,6
2108846215,,9
47686265,,12
32319713,,12
2266967793,,9
3286188,,13
1942300,,12
2110155728,,14
2256117160,,15
2966239,,5
2113278036,,12
144598922,,12
7641268,,16
1758194,,16
48003143,,17
14714641,,18
31851790,,15
48682997,,9
145609073,,10
2125742712,,19
2065639113,,12
3422559,,15
2237807642,,1
2148911990,,20
49192881,,14
2273072,,16
2529182,,21
1682479,,6
7595427,,10
1796245019,,5
2654290,,15
2329288,,21
50557305,,9
145600108,,16
2315504,,16
9381483,,9
2243192949,,18
2769805,,14
12668727,,11
2928932,,1
2108544421,,12
2295141,,21
1398728014,,15
2522647,,22
2219752599,,23
50366818,,12
2060445410,,10
2257447747,,24
51881277,,7
51433108,,15
2055623340,,20
2064960804,,12
49660979,,15
66286536,,18
2714199,,6
40662181,,16
2064641533,,16
51894872,,12
2083259,,14
2143719672,,25
2918822,,9
2275245435,,26
2388624850,,27
2077484140,,17
2072804953,,6
2315586631,,7
8784948,,8
2678842,,14
47731271,,9
40360972,,21
2058725702,,15
2185018996,,6
29905643,,9
40811585,,5
2144696467,,4
2047183609,,15
2111636970,,15
2237763287,,24
9555451,,15
2249244917,,24
2122700519,,7
52210437,,15
2269148232,,12
1500655520,,22
49281242,,6
2091768,,12
2313918648,,18
145370786,,4
1741011319,,27
10291282,,15
3259253,,12
2152664315,,6
2314602001,,18
2774880,,12
2145275135,,6
1756871,,2
2155633441,,6
145959882,,28
2286537482,,18
1450822685,,1
1390517481,,10
9162688,,6
1767897,,6
152663162,,6
2110536989,,7
3127283,,21
2243763538,,29
3331141,,6
48085802,,5
2313916859,,18
1410648718,,5
145754674,,16
2313925800,,18
2126704872,,6
2297187212,,18
2297942583,,18
2088380885,,14
2187214637,,6
2256986716,,5
2144130913,,30
2269734955,,7
2090818,,12
32371083,,18
49640591,,9
2153659066,,6
2109076657,,20
2066299001,,10
2146174097,,10
38140728,,16
2148612914,,2
2115774820,,9
2261393585,,7
6894443,,5
2108254820,,21
39846018,,31
2115849834,,15
1726807,,21
3218666,,5
90287577,,20
143916459,,3
2542999,,16
2114100776,,9
152702479,,15
2256699276,,16
2129455190,,9
2052467415,,21
145387780,,14
1967156,,10
1860631,,4
2116855900,,22
1829303908,,1
2053622382,,7
71222785,,9
2124680,,14
3428769,,12
2048602248,,15
2227764,,12
2111198196,,29
2156641189,,20
2275839391,,26
122537782,,9
50425438,,6
2256805,,13
31949212,,14
40206014,,9
2264288587,,18
145844120,,29
2161341920,,7
1403602266,,4
145116464,,10
2150574163,,6
2110385919,,9
50844928,,21
35789996,,10
39047272,,16
144861834,,9
2118832697,,14
2392223421,,27
2322831923,,27
1906895,,4
2315227698,,22
2313919671,,18
2313916098,,18
2116642640,,5
1694199,,21
47301165,,15
8797855,,12
47353858,,12
2065741038,,26
144529448,,10
1796150,,20
2152630535,,4
1728216,,16
1846258,,12
2126419,,9
145541197,,16
2107219346,,6
2285252911,,7
1683298,,1
144610227,,14
2067091563,,5
1398249653,,15
51219644,,9
145454295,,15
2505999,,23
2281792543,,18
133618632,,15
1740538,,1
3322806,,15
48154546,,29
144517868,,26
1380985420,,26
1777528,,16
2313910202,,18
47825100,,6
9935792,,5
48082494,,32
1397762344,,16
2870618,,14
40161651,,25
1389581270,,16
144029286,,14
2313913215,,18
2454127,,21
49686609,,16
143682244,,3
2313916009,,18
2313909893,,18
144993348,,32
2314075528,,18
2109623647,,15
2110546250,,33
2258961451,,16
2145514235,,4
2118646379,,16
2462983,,34
47828117,,16
3414274,,4
2116895111,,9
8638650,,1
2063053733,,21
2275219628,,26
2542427,,6
47115629,,15
35078078,,12
11053912,,1
2275251674,,26
1399113403,,16
2530311,,18
123545597,,14
39596382,,9
2152100384,,12
