paperId,title,year,venue,fieldsOfStudy
f63e917638553414526a0cc8550de4ad2d83fe7a,Fas    t and Accurate Deep Network Learning by Exponential Linear Units (ELUs),2015.0,International Conference on Learning Representations,"Computer Science,Mathematics"
a6ffce203cb7e587a5f4d36ca7442a7b26c65b07,Deep-learning seismology,2022.0,Science,Medicine
e02f91d625cd32290d4ede0f31284da115844316,DeepXDE: A Deep Learning Library for Solving Differential Equations,2019.0,AAAI Spring Symposium: MLPS,"Computer Science,Physics,Mathematics"
adc61e21eafecfbf6ebecc570f9f913659a2bfb2,Deep Learning--based Text Classification,2020.0,ACM Computing Surveys,"Computer Science,Mathematics"
2eda2921a8da4b325f9d05f556594a5884c398a7,Overfitting in adversarially robust deep learning,2020.0,International Conference on Machine Learning,"Computer Science,Mathematics"
1b04936c2599e59b120f743fbb30df2eed3fd782,Shortcut learning in deep neural networks,2020.0,Nature Machine Intelligence,"Computer Science,Biology"
18056fcac6fc744b940a8d10ff36d42269006f3c,Spectral–Spatial Residual Network for Hyperspectral Image Classification: A 3-D Deep Learning Framework,2018.0,IEEE Transactions on Geoscience and Remote Sensing,Computer Science
340f48901f72278f6bf78a04ee5b01df208cc508,Human-level control through deep reinforcement learning,2015.0,Nature,"Medicine,Computer Science"
bd02bcf2a437217eaac245abe443b2f672b3b36a,Deep Learning Based Vulnerability Detection: Are We There Yet?,2020.0,IEEE Transactions on Software Engineering,Computer Science
c3df199cbca74763c4ae9889409bbd4aa29b6255,Deep learning-enabled medical computer vision,2021.0,npj Digital Medicine,"Computer Science,Medicine"
bc44c0c64a473e035b11ae60a1993ad3db1acd2e,Deep learning: a statistical viewpoint,2021.0,Acta Numerica,"Computer Science,Mathematics"
2dcef55a07f8607a819c21fe84131ea269cc2e3c,Deep Unsupervised Learning using Nonequilibrium Thermodynamics,2015.0,International Conference on Machine Learning,"Computer Science,Mathematics"
7340f090f8a0df5b109682e9f6d57e4b8ca1a2f7,Learning Transferable Features with Deep Adaptation Networks,2015.0,International Conference on Machine Learning,"Computer Science,Mathematics"
2941488b503121f9e8e5b09b7bdf28568b6e39e0,Deep Learning‐Based Crack Damage Detection Using Convolutional Neural Networks,2017.0,Comput. Aided Civ. Infrastructure Eng.,"Computer Science,Engineering"
42ec3db12a2e4628885451b13035c2e975220a25,A Convergence Theory for Deep Learning via Over-Parameterization,2018.0,International Conference on Machine Learning,"Computer Science,Mathematics"
3e496094ccd932c8e1b24189710d819b016ff4c1,More Diverse Means Better: Multimodal Deep Learning Meets Remote-Sensing Imagery Classification,2020.0,IEEE Transactions on Geoscience and Remote Sensing,"Computer Science,Engineering"
a2e667e4382aaa8e02a17d0522c1a910790ab65b,Deep Learning for Anomaly Detection: A Survey,2019.0,arXiv.org,"Computer Science,Mathematics,Geology"
91e611c3e8705002438fb4439733e47ddec85b5d,fastai: A Layered API for Deep Learning,2020.0,Inf.,"Computer Science,Mathematics"
